Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3 out of 5 stars,"13,221",,,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),799,4.0 out of 5 stars,"56,347",,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,"6,874",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW?sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black)",259,4.3 out of 5 stars,Amazon’s private and select curated brands,,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW?sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black)",259,4.3 out of 5 stars,"15,909",,,,
https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.1 out of 5 stars,8,,,,
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon Basics Laptop Backpack,599,4.2 out of 5 stars,637,,,,
https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,629,4.0 out of 5 stars,419,,,,
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",289,4.2 out of 5 stars,92,,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCD79P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small (17 x 19 inches) - 30 bags/roll (Pack of 3, Black)",220,4.2 out of 5 stars,"1,035",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDH2LCP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags (Black, Medium, 19 x 21 inches) - 30 Bags/ Roll - Pack of 3(Plastic)",169,4.2 out of 5 stars,"1,085",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, Green, For Wet Waste)",299,4.4 out of 5 stars,542,,,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.3 out of 5 stars,"5,256",,,,
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",699,3.9 out of 5 stars,155,,,,
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,"1,951",,,,
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,"3,842",,,,
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",229,4.1 out of 5 stars,"10,270",,,,
https://www.amazon.in/Impulse-Belux-Backpack-Resistant-Black/dp/B0CJHL12N9,Impulse Belux 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,510,5.0 out of 5 stars,11,,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,4.1 out of 5 stars,"6,653",,,,
https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Rolls/dp/B07KT9Q54M,Shalimar Premium OXO - Biodegradable Garbage Bags (Medium) Size 19 x 21 Inches 4 Rolls 120 Bags Dustbin Bag/Trash Bag - Black Color,269,4.5 out of 5 stars,"18,724",,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,299",4.5 out of 5 stars,"7,727",,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",499,4.3 out of 5 stars,"13,221",,,,
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9 out of 5 stars,"4,291",,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",549,3.9 out of 5 stars,"17,605","Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",,,
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,349,4.0 out of 5 stars,"9,231",,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3 out of 5 stars,"13,221",,,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),799,4.0 out of 5 stars,"56,347",,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,"6,874",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW?sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black)",259,4.3 out of 5 stars,Amazon’s private and select curated brands,,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW?sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, plastic, Black)",259,4.3 out of 5 stars,"15,909",,,,
https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.1 out of 5 stars,8,,,,
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon Basics Laptop Backpack,599,4.2 out of 5 stars,637,,,,
https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,629,4.0 out of 5 stars,419,,,,
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",289,4.2 out of 5 stars,92,,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDCD79P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small (17 x 19 inches) - 30 bags/roll (Pack of 3, Black)",220,4.2 out of 5 stars,"1,035",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDH2LCP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags (Black, Medium, 19 x 21 inches) - 30 Bags/ Roll - Pack of 3(Plastic)",169,4.2 out of 5 stars,"1,085",,,,
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, Green, For Wet Waste)",299,4.4 out of 5 stars,542,,,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",449,4.3 out of 5 stars,"5,256",,,,
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G,"Safari Omega 30L Laptop Backpack with Raincover, school bag for boys and girls, college bag, office bag, travel bag for men and women, Teal",699,3.9 out of 5 stars,155,,,,
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,"1,951",,,,
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,"3,842",,,,
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",229,4.1 out of 5 stars,"10,270",,,,
https://www.amazon.in/Impulse-Belux-Backpack-Resistant-Black/dp/B0CJHL12N9,Impulse Belux 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,510,5.0 out of 5 stars,11,,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,4.1 out of 5 stars,"6,653",,,,
https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Rolls/dp/B07KT9Q54M,Shalimar Premium OXO - Biodegradable Garbage Bags (Medium) Size 19 x 21 Inches 4 Rolls 120 Bags Dustbin Bag/Trash Bag - Black Color,269,4.5 out of 5 stars,"18,724",,,,
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"2,299",4.5 out of 5 stars,"7,727",,,,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L, Charcoal black",499,4.3 out of 5 stars,"13,221",,,,
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9 out of 5 stars,"4,291",,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",549,3.9 out of 5 stars,"17,605",,,,
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,349,4.0 out of 5 stars,"9,231",,,,
